date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
9/6/2018,18105,1873,3639,1605,2134,809,122,92,34,19,208,58,100,17,0.019498058,1.1778,7101,6029,231.650000,231.760000,218.120000,230.220000,2097310000,23576873426
9/7/2018,13106,1686,2914,1336,1619,634,111,86,22,8,209,45,87,15,0.013739739,1.1922,5751,4824,229.540000,233.900000,217.080000,217.200000,1678260000,23366572107
9/8/2018,12927,1214,2738,1223,1570,587,79,58,14,7,143,33,54,8,0.012831264,1.1550,4993,4323,217.910000,220.370000,193.260000,197.950000,1517200000,22187693066
9/9/2018,13702,1106,2872,1294,1623,601,71,60,22,16,104,28,59,11,0.011229699,1.2274,5797,4723,198.390000,207.670000,188.310000,196.920000,1585980000,20203492382
9/10/2018,14133,1625,3148,1502,1531,601,105,74,19,12,165,46,88,20,0.014718248,1.2546,6351,5062,197.850000,201.880000,189.580000,197.080000,1502960000,20153125179
9/11/2018,15006,1722,3213,1524,1761,637,85,70,25,13,199,46,101,34,0.015972181,1.2201,6275,5143,198.180000,198.510000,180.600000,185.070000,1568900000,20190354865
9/12/2018,17727,2047,3646,1609,2059,760,149,123,21,6,243,64,104,23,0.011002698,1.2547,7182,5724,185.420000,185.590000,170.260000,183.330000,1874850000,18894773430
9/13/2018,14533,1689,3135,1407,1506,529,105,86,16,4,213,79,83,16,0.009297506,1.2061,6069,5032,183.680000,214.000000,183.680000,211.350000,2330720000,18720806713
9/14/2018,11528,1555,2511,1217,1167,430,115,88,17,7,186,39,53,11,0.011821545,1.1492,5245,4564,212.670000,222.790000,204.870000,211.750000,2232190000,21679865533
9/15/2018,9663,1189,2206,1064,1096,409,95,74,16,7,139,45,44,3,0.011195428,1.2059,4591,3807,209.810000,226.600000,209.610000,223.070000,1670490000,21393105695
9/16/2018,8652,985,2022,980,1045,439,61,46,11,7,124,31,43,12,0.012654256,1.1899,3992,3355,222.800000,222.800000,211.120000,220.590000,1502260000,22721984527
9/17/2018,11927,1665,2610,1210,1418,574,86,65,11,4,193,46,76,10,0.011776651,1.1450,4944,4318,221.580000,224.260000,195.310000,197.880000,2019910000,22602064199
